t_state,t_county,ordinance,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat
NE,Holt,1,200,400.0,80.0,110.0,9503.32,135.0,-98.47024943000001,42.610701295
NE,Jefferson,1,44,74.8,80.0,100.0,7853.98,130.1,-96.9440984375,40.0484023125
NE,Keya Paha,0,2,3.0,65.0,77.0,4656.63,103.6,-99.776089,42.826494
NE,Kimball,1,12,30.0,90.0,116.0,10568.32,148.1,-103.70999016666667,41.29487325
NE,Knox,1,49,123.0,80.0,90.0,6361.7300000000005,125.0,-97.62631234693878,42.684989
NE,Platte,0,7,13.7,80.0,108.57142857142857,9290.588571428572,134.27142857142857,-97.39296814285714,41.67756428571429
NE,Polk,1,1,2.5,89.0,127.0,12667.69,152.5,-97.570107,41.165283
NE,Richardson,0,40,60.0,80.0,82.5,5345.62,121.3,-95.904470825,40.005686125
NE,Saline,1,99,300.0,91.08510638297874,127.43617021276596,12916.634787234041,154.83510638297872,-97.20278618085105,40.50444009574468
NE,Seward,0,1,1.7,80.0,103.0,8332.29,131.4,-97.187675,40.895283
NE,Wayne,0,222,688.29,91.18191552207945,125.3317826022744,12456.703314133807,153.8374464628563,-97.25058300738444,42.22074457805346
NE,Webster,1,140,339.96,80.0,115.54285714285714,10490.767428571427,137.87142857142857,-98.57876785978473,40.2646048702544
NH,Coos,0,38,113.25,80.65789473684211,91.71052631578948,6621.014210526316,126.52631578947368,-71.29404971052631,44.73916973684211
NH,Grafton,0,24,48.0,78.0,87.0,5944.68,121.59999999999998,-71.80639075,43.76169108333334
NH,Hillsborough,0,9,28.8,91.05555555555556,113.0,10028.75,147.54444444444445,-72.01621666666666,43.055370777777775
NH,Sullivan,0,12,24.0,78.0,87.0,5944.68,121.59999999999998,-72.14536541666666,43.233831583333334
NJ,Atlantic,0,5,7.5,80.0,77.0,4656.63,118.6,-74.44834,39.3819724
NJ,Hudson,0,1,1.5,65.0,77.0,4656.63,103.6,-74.117699,40.652794
NM,Catron,0,34,99.8,94.11764705882354,137.1764705882353,14826.096470588234,162.80588235294115,-108.89782067647059,34.13207829411765
NM,Chaves,0,197,397.3,78.39259951910233,85.10761421319795,6539.551634517767,120.99746192893402,-103.83986952651172,33.60348496098495
NM,Cibola,0,64,102.4,80.0,82.5,5345.62,121.3,-107.38181971875,35.256836125
NM,Curry,0,215,502.92,81.81395348837209,109.21860465116279,9498.251534883719,136.51023255813953,-103.18242012093025,34.77970367906977
NM,De Baca,0,157,254.9,81.20382165605096,92.35031847133757,6843.936114649681,127.27898089171977,-104.05825319201699,34.56917399235669
