t_state,t_county,eia_id,p_year,p_tnum,p_cap,t_hh,t_rd,t_rsa,t_ttlh,xlong,ylat,ordinance
IA,Adair,58458,2012,1,1.6,80.0,82.5,5345.62,121.3,-94.488579,41.29052,1
IA,Adair,58459,2012,1,1.6,80.0,82.5,5345.62,121.3,-94.446289,41.390095,1
IA,Adair,58460,2012,1,1.68,80.0,82.5,5345.62,121.3,-94.485252,41.290779,1
IA,Adair,60541,2015,1,1.85,80.0,87.0,5944.68,123.4,-94.339256,41.469986,1
IA,Adair,61077,2019,193,398.8,95.0,112.63374485596708,9979.08230452675,151.34320987654323,-94.40212311522635,41.21562947736625,1
IA,Adair,62132,2020,17,60.4,95.85714285714286,113.42857142857143,10203.446285714286,152.58,-94.33119307142857,41.45085196428571,1
IA,Adair,63640,2020,12,31.6,100.0,110.0,9503.32,155.1,-94.360485,41.1670745,1
IA,Adams,57501,2011,193,443.9,80.0,101.0,8011.849999999999,130.5,-94.7735912631579,41.14342963157895,0
IA,Adams,59637,2016,64,154.28,82.1875,108.0,9160.88,136.275,-94.6747481875,40.92077409375,0
IA,Adams,63640,2021,36,131.3,102.8,130.16,13437.9728,167.956,-94.49530204000001,41.09312468,0
IA,Appanoose,64178,2021,2,5.6,89.0,127.0,12667.69,152.5,-92.8531075,40.7013055,0
IA,Audubon,57873,2012,87,200.1,80.0,108.0,9160.88,134.1,-94.72012383333333,41.55643741666667,0
IA,Audubon,61609,2018,43,103.5,88.0,124.0,12132.833333333334,149.92222222222222,-94.826412,41.734509527777774,0
IA,Audubon,64661,2022,72,199.4,88.14285714285714,125.95238095238095,12467.75,151.11904761904762,-94.88946379365079,41.79421807936508,0
IA,Boone,61079,2017,85,170.0,95.0,110.0,9503.32,150.0,-94.13121390909092,42.09733575,1
IA,Bremer,57214,2012,1,0.95,74.33333333333333,53.333333333333336,2234.72,101.06666666666666,-92.39191933333332,42.74350866666666,0
IA,Buena Vista,56251,2017,106,159.0,65.8,78.28,4868.679999999999,105.06,-95.34541856666667,42.573404,0
IA,Calhoun,56501,2011,13,29.9,80.0,101.0,8011.85,130.5,-94.762128875,42.55341725,0
IA,Carroll,56379,2017,66,104.2,80.0,87.0,5944.68,123.4,-95.04577104347825,42.12724604347826,0
IA,Carroll,56809,2008,100,159.12,80.0,91.5,6575.55,125.9,-94.94529587000001,42.150064089999994,0
IA,Carroll,59071,2015,9,20.0,80.0,108.0,9160.88,134.1,-94.89090900000001,41.94313811111111,0
IA,Cass,56810,2008,76,174.8,80.0,93.0,6792.91,126.5,-94.71520108333334,41.457926083333334,1
IA,Cass,57501,2011,193,443.9,80.0,101.0,8011.85,130.5,-94.76161667096774,41.21860981935484,1
IA,Cass,58461,2012,1,1.6,80.0,82.5,5345.62,121.3,-94.876793,41.391495,1
IA,Cass,60911,2016,1,1.79,80.0,100.0,7853.98,130.0,-94.75351,41.37022,1
IA,Cass,62130,2017,1,1.79,80.0,100.0,7853.98,130.1,-94.753922,41.373135,1
IA,Cedar,58044,2012,2,6.0,96.0,116.0,10568.32,153.95,-91.232693,41.852642,1
IA,Cerro Gordo,63287,2020,16,36.8,80.0,116.0,10568.32,138.1,-93.4565549375,43.062650687499996,0
IA,Cerro Gordo,63521,2020,5,10.0,82.25,115.625,10536.01875,140.125,-93.150367625,43.12499,0
IA,Cherokee,62035,2019,82,212.04,87.35365853658537,124.98780487804878,12283.658902439025,149.78414634146344,-95.77716641463415,42.86866564634146,1
IA,Clay,56859,2007,10,21.0,79.0,88.0,6082.12,123.1,-94.92289,43.047493,1
IA,Clay,61564,2019,121,299.3,90.0,116.0,10568.32,148.1,-95.33906366666666,43.184169,1
IA,Crawford,56379,2017,66,104.2,80.0,87.0,5944.68,123.39999999999999,-95.16444748837209,42.13717420930232,0
IA,Crawford,57609,2012,50,100.0,78.0,87.0,5944.68,121.6,-95.44912424,42.17234716,0
IA,Delaware,57417,2011,17,42.5,100.0,100.0,7853.9800000000005,150.0,-91.37345788235294,42.598911470588234,1
IA,Delaware,64177,2022,3,7.9,89.0,123.33333333333333,11967.9,150.66666666666666,-91.53232333333334,42.45847833333334,1
IA,Delaware,64183,2021,20,55.36,88.1,125.9,12457.753,150.97,-91.53104435,42.409203000000005,1
IA,Dickinson,56172,2003,29,43.5,80.0,70.5,3903.63,115.2,-95.29756403448275,43.38481962068966,1
IA,Dickinson,57111,2009,61,100.65,80.0,82.0,5281.02,121.0,-95.27757236065574,43.34363927868853,1
IA,Dickinson,57252,2009,7,10.5,80.0,77.0,4656.63,118.6,-94.98053528571428,43.44596371428572,1
IA,Dickinson,61564,2019,121,299.3,86.44444444444444,116.0,10568.32,144.54444444444445,-95.33261904444444,43.27729762222222,1
IA,Emmet,57257,2005,1,1.65,70.0,82.0,5281.02,110.9,-94.81562,43.385403,0
IA,Fayette,57832,2012,15,37.5,100.0,100.0,7853.98,150.0,-92.02945913333333,42.93115246666666,0
IA,Floyd,56677,2008,50,75.0,80.0,91.5,6575.55,125.9,-92.72640729999999,43.03166024,1
IA,Franklin,56355,2009,121,199.65,80.0,82.0,5281.02,121.0,-93.2284265785124,42.630369,0
IA,Franklin,57844,2012,60,99.0,80.0,82.0,5281.02,121.0,-93.33460778333333,42.610712066666665,0
IA,Franklin,62079,2020,81,201.26,87.55555555555556,125.23456790123457,12330.754074074075,150.10493827160494,-93.44205025925926,42.7794665308642,0
IA,Greene,56860,2007,7,14.7,79.0,88.0,6082.12,123.1,-94.35059271428572,42.085578428571424,1
IA,Greene,57830,2012,20,50.0,100.0,100.0,7853.979999999999,150.0,-94.20684735,41.99419305,1
IA,Greene,58444,2012,5,8.0,80.0,82.5,5345.62,121.3,-94.2690324,42.098493,1
IA,Greene,61079,2017,85,170.0,95.0,110.0,9503.32,150.0,-94.19173897560975,42.111060341463414,1
IA,Greene,62134,2018,85,170.0,95.0,110.0,9503.32,150.0,-94.24860004705882,42.10598424705882,1
IA,Grundy,58886,2014,60,140.76,80.0,108.0,9160.88,134.1,-92.96526508333334,42.39005528333333,1
IA,Grundy,61911,2018,35,90.83,84.28571428571429,118.28571428571429,11002.751428571428,143.52857142857144,-92.940307,42.34166848571428,1
IA,Guthrie,57873,2012,87,200.1,80.0,108.0,9160.88,134.1,-94.6640006825397,41.55597747619048,0
IA,Hamilton,56252,2017,100,150.0,66.61458333333333,74.75,4469.021145833333,104.08437500000001,-93.66316792708334,42.52483752083334,0
IA,Hancock,56010,2002,148,100.048,65.0,47.0,1734.94,88.4,-93.68244307432433,43.011948027027024,0
